Cand_Code,Cand_Name,Party_code,likely_religion,likely_religion_certainty
S06PC01CA01,CHAVDA VINOD LAKHAMASHI,N0002,Hindu,83
S06PC01CA02,DR. DINESH PARMAR,N0005,Hindu,83
S06PC01CA03,KAMALBHAI MATANG,N0001,Unknown,0
S06PC01CA04,HIRJI PUNJABHAI SIJU,U0201,Parsi,83
S06PC01CA05,None of the Above,N0000,Unknown,0
S06PC01CA06,DANICHA GOVINDBHAI PUNAMCHAND,S0001,Unknown,0
S06PC02CA01,CHAUDHARY HARIBHAI PARTHIBHAI,N0002,Unknown,0
S06PC02CA02,PATEL JOITABHAI KASNABHAI,N0005,Unknown,0
S06PC02CA03,None of the Above,N0000,Unknown,0
S06PC02CA04,MAHANT PARSOTAMGIRI TURANTGIRI,N0001,Hindu,83
S06PC02CA05,BABAJI THAKOR,N1001,Unknown,0
S06PC02CA06,SOLANKI SAYBABHAI NANABHAI,N1001,Parsi,66
S06PC02CA07,SANJAYKUMAR SOMNATHBHAI RAVAL,S0001,Hindu,16
S06PC02CA08,SOLANKI DINESHKUMAR ALJIBHAI,N1001,Unknown,0
S06PC02CA09,MAHENDRABHAI KESARABHAI BUMBADIA,N1001,Unknown,0
S06PC02CA10,SHRIMALI ASHOKBHAI BALCHNDBHAI,N1001,Unknown,0
S06PC02CA11,DABHI NAVAJIBHAI MADHABHAI,N1001,Unknown,0
S06PC02CA12,MADHU NIRUPABEN NATVARLAL,N1001,Hindu,83
S06PC02CA13,CHOUDHARY ADAMBHAI NASIRBHAI,S0040,Unknown,0
S06PC02CA14,THAKOR BHUPATAJI RAVAJI,N1001,Unknown,0
S06PC02CA15,GAMAR VADHABHAI RADHABHAI,N1001,Unknown,0
S06PC03CA01,LILADHARBHAI KHODAJI VAGHELA,N0002,Unknown,0
S06PC03CA02,RATHOD BHAVSINHBHAI DAHYABHAI,N0005,Unknown,0
S06PC03CA03,None of the Above,N0000,Unknown,0
S06PC03CA04,PARMAR MAGANBHAI AMARABHAI,N0001,Unknown,0
S06PC03CA05,VAGHDA JIVABHAI DEVABHAI,N1001,Unknown,0
S06PC03CA06,GOVINDJI OKHAJI THAKOR,S0021,Unknown,0
S06PC03CA07,MOLAPIYA ABDULKUDUS ABDULMAJID,N1001,Unknown,0
S06PC03CA08,JAKASIJI JOGAJI THAKOR,U0201,Unknown,0
S06PC03CA09,BHORANIYA SOYABBHAI HASAMBHAI,N1001,Unknown,0
S06PC03CA10,CHHAGANBHAI NARANBHAI PRAJAPATI,N1001,Hindu,16
S06PC03CA11,JAGRALA IMRAN MAHEMUD,N1001,Muslim,83
S06PC03CA12,BABUBHAI KARSHANBHAI RABARI,S0040,Unknown,0
S06PC03CA13,IMRANKHAN MAHMADKHAN NAGORI,N1001,Unknown,0
S06PC03CA14,DESAI ISHWARBHAI MAHADEVBHAI,N1001,Unknown,0
S06PC03CA15,PARMAR BHAICHANDBHAI SOMABHAI,U1315,Unknown,0
S06PC04CA01,PATEL JAYSHREEBEN KANUBHAI,N0002,Unknown,0
S06PC04CA02,PATEL JIVABHAI AMBALAL,N0005,Unknown,0
S06PC04CA03,None of the Above,N0000,Unknown,0
S06PC04CA04,THAKOR KEVALJI NATHAJI,N0001,Unknown,0
S06PC04CA05,MAHMAD AZAM HAIDERKHAN PATHAN,N1001,Muslim,19
S06PC04CA06,PRAJAPATI VITTHALBHAI VIRDAS,N1001,Hindu,83
S06PC04CA07,GIRISHJI JENAJI DABHI,U0312,Unknown,0
S06PC04CA08,SMT VANDANABEN DINESHKUMAR PATEL,S0001,Hindu,16
S06PC04CA09,THAKOR SAMARATJI BALVANTSINH,N1001,Unknown,0
S06PC04CA10,THAKOR BABUJI DHANAJI,N1001,Unknown,0
S06PC04CA11,THAKOR BALDEVJI MAGANJI,N1001,Unknown,0
S06PC04CA12,ZALA INDRAJITSINH MAHENDRASINH,S0040,Unknown,0
S06PC04CA13,THAKOR MANSANGJI PUNJAJI,U0201,Unknown,0
S06PC04CA14,CHAUDHARY DINESHBHAI SALUBHAI,U1565,Unknown,0
S06PC04CA15,PATEL DILIPBHAI SOMABHAI,U0584,Unknown,0
S06PC05CA01,RATHOD DIPSINH SHANKARSINH,N0002,Unknown,0
S06PC05CA02,SHANKERSINH VAGHELA BAPU,N0005,Unknown,0
S06PC05CA03,None of the Above,N0000,Unknown,0
S06PC05CA04,BHAMBHI CHANDUBHAI MULCHANDBHAI,N0001,Unknown,0
S06PC05CA05,SOLANKI CHHAGANBHAI KEVALABHAI,N1001,Unknown,0
S06PC05CA06,PATEL BHOGILAL HARIBHAI,U0312,Unknown,0
S06PC05CA07,VELANI SHANTILAL KARAMSHI,N1001,Unknown,0
S06PC05CA08,BALUSINGH SOMANSINGH NARVE,N1001,Unknown,0
S06PC05CA09,SHEKH ARIF KHAN,S0040,Muslim,46
S06PC05CA10,PATEL PURUSOTTAMBHAI AMBALAL,N1001,Unknown,0
S06PC05CA11,PATEL ISHWARBHAI SAKRAJI,N1001,Unknown,0
S06PC06CA01,L. K. ADVANI,N0002,Unknown,0
S06PC06CA02,KIRITBHAI ISHVARBHAI PATEL,N0005,Hindu,16
S06PC06CA03,RITURAJ MEHTA,S0001,Hindu,46
S06PC06CA04,None of the Above,N0000,Unknown,0
S06PC06CA05,RAHUL CHIMANBHAI MEHTA,N1001,Hindu,46
S06PC06CA06,VAGHELA KISHORSINH MAHOBATSINH,N1001,Unknown,0
S06PC06CA07,NIRANJAN GHOSH,N0001,Hindu,46
S06PC06CA08,M. K. SHAH,N1001,Hindu,16
S06PC06CA09,RAJ PRAJAPATI,N1001,Hindu,5
S06PC06CA10,AJMALBHAI RAMABHAI VANIYA,U0201,Unknown,0
S06PC06CA11,BRAHMBHATT SANJAYBHAI AMARKUMAR,N1001,Unknown,0
S06PC06CA12,BIRJUSINH MOTISINH KSHATRIYA,N1001,Unknown,0
S06PC06CA13,PAGI GANPATBHAI MAVJIBHAI,N1001,Unknown,0
S06PC06CA14,THAKOR RAVAJI JUHAJI,U1565,Unknown,0
S06PC06CA15,DESAI KHODABHAI LALJIBHAI,N1001,Unknown,0
S06PC06CA16,DIPIKABEN SUTARIYA,N1001,Unknown,0
S06PC06CA17,MANOJ J. NAYAK,U0836,Hindu,46
S06PC06CA18,THAKOR CHANDRASINH JAVANSINH,N1001,Unknown,0
S06PC06CA19,PATEL PIYUSHKUMAR DASHRATHLAL,U0967,Unknown,0
S06PC07CA01,PARESH RAWAL,N0002,Hindu,46
S06PC07CA02,PATEL HIMMATSINGH PRAHLADSINGH,N0005,Unknown,0
S06PC07CA03,None of the Above,N0000,Unknown,0
S06PC07CA04,DINESH VAGHELA,S0001,Hindu,83
S06PC07CA05,ROHIT RAJUBHAI VIRJIBHAI ALIAS MANOJBHAI SONTARIYA,N0001,Hindu,83
S06PC07CA06,ROSHAN PRIYAVADAN SHAH,N1001,Hindu,6
S06PC07CA07,DASHRATHBHAI M. DEVDA,N1001,Unknown,0
S06PC07CA08,ANILKUMAR SHARMA,N1001,Hindu,46
S06PC07CA09,ATIKBHAI MEV,N1001,Unknown,0
S06PC07CA10,ADITYA RAVAL,U1565,Hindu,46
S06PC07CA11,KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU),U0046,Muslim,90
S06PC07CA12,NARANBHAI T. SENGAL (DR. N. T. SENGAL),U0214,Unknown,0
S06PC07CA13,VIJAYKUMAR M. VADHEL,U0593,Unknown,0
S06PC07CA14,BUDDHPRIYA JASVANT SOMABHAI,U1071,Unknown,0
S06PC07CA15,DUTT AAKASH -. ADVOCATE,S0021,Hindu,7
S06PC08CA01,DR. KIRIT P. SOLANKI,N0002,Hindu,46
S06PC08CA02,ISHWARBAHI DHANABHAI MAKWANA,N0005,Unknown,0
S06PC08CA03,J. J. MEVADA,S0001,Unknown,0
S06PC08CA04,None of the Above,N0000,Unknown,0
S06PC08CA05,CHAVDA MANSUKHBHAI NAGARBHAI,N0001,Unknown,0
S06PC08CA06,SOLANKI VITTHALBHAI MAGANBHAI,N1001,Unknown,0
S06PC08CA07,DR J. G. PARMAR,U0201,Unknown,0
S06PC08CA08,NARENDRA SANKHALIYA,U0837,Hindu,83
S06PC08CA09,SOLANKI RAMESHBHAI DANABHAI,N1001,Unknown,0
S06PC08CA10,AMRUT SONARA,U0214,Unknown,0
S06PC08CA11,AAYAR MULJIBHAI KHANABHAI,N1001,Unknown,0
S06PC08CA12,PARMAR HARJIVANBHAI KALABHAI,N1001,Unknown,0
S06PC09CA01,FATEPARA DEVAJIBHAI GOVINDBHAI,N0002,Unknown,0
S06PC09CA02,KOLI PATEL SOMABHAI GANDALAL,N0005,Unknown,0
S06PC09CA03,SAPARA VIPULBHAI RAMESHBHAI,N1001,Unknown,0
S06PC09CA04,JETHABHAI MANJIBHAI PATEL,S0001,Hindu,16
S06PC09CA05,SANKALIYA GANGARAMBHAI TAPUBHAI,N1001,Unknown,0
S06PC09CA06,None of the Above,N0000,Unknown,0
S06PC09CA07,PARMAR MINAXIBEN VIJAYBHAI,N0001,Unknown,0
S06PC09CA08,VAGHELA PRAKASHBHAI BACHUBHAI,N1001,Unknown,0
S06PC09CA09,VORA BHAVANBHAI DEVAJIBHAI,N1001,Unknown,0
S06PC09CA10,VADALIYA KALUBHAI MALUBHAI,N1001,Unknown,0
S06PC09CA11,PARMAR PRABHUBHAI GOKALBHAI,N1001,Unknown,0
S06PC09CA12,BAR AJAMALBHAI KARMANBHAI,U0201,Unknown,0
S06PC09CA13,MANSINH SHIVUBHA ZALA,N1001,Unknown,0
S06PC09CA14,PARMAR VASHARAMBHAI BAVALBHAI,N1001,Unknown,0
S06PC09CA15,MAKWANA VASHARAMBHAI KARSHANBHAI,N1001,Unknown,0
S06PC09CA16,MAJETHIYA SAMARATBHAI JERAMBHAI,U0584,Unknown,0
S06PC09CA17,CHAVDA PALABHAI NANJIBHAI,N1001,Unknown,0
S06PC09CA18,MAKWANA UKABHAI AMRABHAI,N1001,Unknown,0
S06PC10CA01,KUNDARIYA MOHANBHAI KALYANJIBHAI,N0002,Unknown,0
S06PC10CA02,KUNVARJIBHAI MOHANBHAI BAVALIYA,N0005,Unknown,0
S06PC10CA03,None of the Above,N0000,Unknown,0
S06PC10CA04,JIVANBHAI DEVAJIBHAI PARMAR,N0001,Unknown,0
S06PC10CA05,ANKUR AMRUTKUMAR DHAMELIYA(PATEL),S0001,Unknown,0
S06PC10CA06,VINODBHAI PRAGJIBHAI NAGANI,N1001,Unknown,0
S06PC10CA07,BASIRBHAI SULEMANBHAI SAMA,N1001,Unknown,0
S06PC10CA08,ANIRUDDHSINH JUVANSINH ZALA,N1001,Unknown,0
S06PC10CA09,PRAVINCHANDRA CHUNILAL PAREKH,N1001,Unknown,0
S06PC10CA10,POPATBHAI DEVAJIBHAI CHAVDA (BHUVA),N1001,Unknown,0
S06PC10CA11,ROHITBHAI MOHANBHAI SAGATHIYA,U0201,Unknown,0
S06PC10CA12,NARENDRABHAI MAHAJAN,N1001,Unknown,0
S06PC10CA13,PATHAN BISMILLAKHAN ABDULKHAN (BABAKHAN PATHAN),N1001,Unknown,0
S06PC10CA14,JITENDRA BHURABHAI CHAUHAN,U1317,Hindu,46
S06PC10CA15,DENGADA PRAVINBHAI MEGHAJIBHAI,U1316,Unknown,0
S06PC10CA16,RAJESHBHAI LAVJIBHAI PIPALVA,U0836,Unknown,0
S06PC11CA01,RADADIYA VITHALBHAI HANSRAJBHAI,N0002,Unknown,0
S06PC11CA02,JADEJA KANDHALBHAI SARMANBHAI,N0006,Unknown,0
S06PC11CA03,None of the Above,N0000,Unknown,0
S06PC11CA04,SADIYA VRAJALAL PABABHAI,N0001,Hindu,83
S06PC11CA05,MANSUKH SUNDARAJI DHOKAI,S0001,Unknown,0
S06PC11CA06,VAKIL VINZUDA RANJITBHAI NARANBHAI,N1001,Unknown,0
S06PC11CA07,IRFANSHAH HABIBSHAH SUHARAVARDI,S0040,Unknown,0
S06PC11CA08,RATHOD CHANDULAL MOHANLAL,N1001,Unknown,0
S06PC11CA09,PATEL BUTANI RAJESHBHAI MAGANBHAI,N1001,Unknown,0
S06PC11CA10,KHUNTI BHARATBHAI MALDEBHAI,N1001,Unknown,0
S06PC11CA11,TUKADIA G. R.,N1001,Unknown,0
S06PC11CA12,AGHERA DHIRAJLAL BHURABHAI,N1001,Unknown,0
S06PC11CA13,UNADAKAT PRAKASH VALLABHADAS,N1001,Unknown,0
S06PC11CA14,KHOKHANI LALITABEN MANSUKHBHAI,N1001,Unknown,0
S06PC11CA15,JOSHI HARISH LILADHAR,N1001,Hindu,28
S06PC12CA01,POONAMBEN HEMATBHAI MAADAM,N0002,Unknown,0
S06PC12CA02,AHIR VIKRAMBHAI ARJANBHAI MADAM,N0005,Unknown,0
S06PC12CA03,MAMAD HAJI BOLIM,N1001,Unknown,0
S06PC12CA04,SAMA YUSUF,N0001,Muslim,66
S06PC12CA05,None of the Above,N0000,Unknown,0
S06PC12CA06,MEMAN RAFIK ABUBAKAR POPATPUTRA,N1001,Unknown,0
S06PC12CA07,JHALA RAJENDRASINH,S0001,Unknown,0
S06PC12CA08,VAGHER ALI ISHAK PALANI,N1001,Hindu,17
S06PC12CA09,BATHWAR NANJIBHAI,N1001,Unknown,0
S06PC12CA10,NARIYA PRAVINBHAI VALLABHBHAI,N1001,Unknown,0
S06PC12CA11,PANDYA CHIRAGBHAI HARIOMBHAI,N1001,Hindu,83
S06PC12CA12,SANDHI MAMADBHAI HAJIBHAI SAFIA,N1001,Muslim,9
S06PC12CA13,KASAMBHAI,U1219,Unknown,0
S06PC12CA14,VAGHER JAVIDBHAI OSMANBHAI NOLE,N1001,Unknown,0
S06PC12CA15,PADHIYAR LALJIBHAI KARABHAI,N1001,Unknown,0
S06PC12CA16,DHARAVIYA VALLABHBHAI,N1001,Unknown,0
S06PC12CA17,SAIYAD ABUBAKAR IBRAHIM,S0040,Muslim,16
S06PC12CA18,SODHA SALIMBHAI NURMAMADBHAI,N1001,Unknown,0
S06PC12CA19,CHANDRAVIJAYSINH TAKHUBHA RANA,N1001,Hindu,16
S06PC12CA20,SACHADA HABIB ISHABHAI,N1001,Muslim,83
S06PC12CA21,VANIYA GANGAJIBHAI,N1001,Unknown,0
S06PC12CA22,DHANJIBHAI LALJIBHAI RANEVADIA,N1001,Parsi,83
S06PC12CA23,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,N1001,Unknown,0
