PC_NO,PC_NAME,PC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TOTOVOTPOLL,POSITION,likely_religion,likely_religion_certainty
35,Lucknow,GEN,DR.KHAN MOHMAD ATIF,M,GEN,64,MMUP,717,11,Muslim,66
35,Lucknow,GEN,KEDAR MAL AGRAWAL,M,GEN,55,IND,616,12,Hindu,2
35,Lucknow,GEN,ASHOK KUMAR PAL,M,GEN,31,IND,575,13,Hindu,50
35,Lucknow,GEN,AMBIKA PRASAD,M,GEN,49,IND,548,14,Hindu,46
35,Lucknow,GEN,RAJESH KUMAR,M,GEN,25,IND,533,15,Hindu,46
35,Lucknow,GEN,PADAM CHANDRA GUPTA,M,GEN,35,IND,527,16,Hindu,50
35,Lucknow,GEN,A. HAROON ALI,M,GEN,48,IND,513,17,Muslim,46
35,Lucknow,GEN,BAL MUKUND TIWARI,M,GEN,26,IND,505,18,Hindu,46
35,Lucknow,GEN,AMIT PANDEY,M,GEN,33,IND,484,19,Hindu,46
35,Lucknow,GEN,GIRISH CHANDRA SRIVASTAV,M,GEN,62,IND,477,20,Hindu,66
35,Lucknow,GEN,MOHD. IRSHAD,M,GEN,40,NBNP,473,21,Muslim,23
35,Lucknow,GEN,MURLI PRASAD,M,GEN,56,RTKP,452,22,Hindu,46
35,Lucknow,GEN,DASHARATH,M,GEN,36,RMEP,424,23,Hindu,66
35,Lucknow,GEN,S.R.DARAPURI,M,SC,65,IND,421,24,Unknown,0
35,Lucknow,GEN,CHATURI PRASAD,M,SC,56,IND,419,25,Hindu,16
35,Lucknow,GEN,MUSTAQ KHAN,M,GEN,38,IJP,375,26,Muslim,46
35,Lucknow,GEN,DHEERAJ,M,GEN,37,IND,361,27,Hindu,66
35,Lucknow,GEN,NITIN DWIVEDI,M,GEN,25,IND,346,28,Hindu,46
35,Lucknow,GEN,NAND KUMAR LODHI RAJPOOT,M,GEN,44,BGD,346,29,Hindu,33
35,Lucknow,GEN,K.C. KARDAM,M,SC,65,IND,295,30,Unknown,0
35,Lucknow,GEN,PRAVEEN KUMAR MISHRA,M,GEN,32,EKSP,283,31,Hindu,25
35,Lucknow,GEN,ZUBAIR AHMAD,M,GEN,32,IND,279,32,Muslim,25
35,Lucknow,GEN,RAJESH KUMAR NAITHANI,M,GEN,35,IND,259,33,Hindu,66
35,Lucknow,GEN,KAMAL CHANDRA,M,GEN,39,GGP,259,34,Hindu,4
35,Lucknow,GEN,SEHNAAZ SIDRAT,F,GEN,48,IND,245,35,Unknown,0
35,Lucknow,GEN,JUGUNU RANJAN,F,GEN,47,JANS,226,36,Hindu,66
35,Lucknow,GEN,RADHEYSHYAM,M,GEN,37,IND,218,37,Unknown,0
35,Lucknow,GEN,SUKHVEER SINGH,M,GEN,41,IND,201,38,Sikh,33
35,Lucknow,GEN,HARJEET SINGH,M,GEN,48,IND,185,39,Hindu,9
35,Lucknow,GEN,RAM KUMAR SHUKLA,M,GEN,62,IND,181,40,Hindu,20
35,Lucknow,GEN,SUMAN LATA DIXIT,F,GEN,53,IND,163,41,Hindu,15
36,Rae bareli,GEN,SONIA GANDHI,F,GEN,62,INC,481490,1,Hindu,46
36,Rae bareli,GEN,R.S.KUSHWAHA,M,GEN,52,BSP,109325,2,Unknown,0
36,Rae bareli,GEN,R.B.SINGH,M,GEN,44,BJP,25444,3,Unknown,0
36,Rae bareli,GEN,ANIL KUMAR MAURYA,M,GEN,31,AD,12321,4,Hindu,33
36,Rae bareli,GEN,HORILAL,M,SC,41,IND,10073,5,Unknown,0
36,Rae bareli,GEN,SHYAM BIHARI GUPTA,M,GEN,44,IND,5477,6,Hindu,46
36,Rae bareli,GEN,SRIPAL,M,SC,45,IND,4149,7,Unknown,0
36,Rae bareli,GEN,LAJJAWATI KANCHAN,F,SC,43,IND,3546,8,Hindu,62
36,Rae bareli,GEN,RAMA SHANKAR,M,GEN,42,IND,2437,9,Hindu,29
36,Rae bareli,GEN,BABULAL,M,SC,61,IND,2158,10,Hindu,66
36,Rae bareli,GEN,DINESH,M,SC,32,RCP,2041,11,Hindu,66
36,Rae bareli,GEN,MANOJ KUMAR S/O HANUMANT PRASAD,M,GEN,36,IND,1991,12,Hindu,52
36,Rae bareli,GEN,ILIYAS HUSSAIN,M,GEN,36,IND,1851,13,Muslim,16
36,Rae bareli,GEN,MANOJ KUMAR S/O RAM NARESH SINGH,M,GEN,58,IND,1552,14,Hindu,32
36,Rae bareli,GEN,ALOK KUMAR SINGH,M,GEN,32,IND,1466,15,Hindu,21
36,Rae bareli,GEN,AVNISH,M,SC,31,IND,1327,16,Unknown,0
37,Amethi,GEN,RAHUL GANDHI,M,GEN,38,INC,464195,1,Hindu,46
37,Amethi,GEN,ASHEESH SHUKLA,M,GEN,48,BSP,93997,2,Hindu,16
37,Amethi,GEN,PRADEEP KUMAR SINGH,M,GEN,39,BJP,37570,3,Hindu,33
37,Amethi,GEN,BHUWAL,M,GEN,56,JPS,10396,4,Unknown,0
37,Amethi,GEN,SWAMI NATH,M,GEN,25,IND,9642,5,Hindu,83
37,Amethi,GEN,RAMESH CHANDRA,M,GEN,30,IND,6670,6,Hindu,5
37,Amethi,GEN,MEET SINGH,M,GEN,65,IND,4413,7,Hindu,4
37,Amethi,GEN,MOHD.HASAN LAHARI,M,GEN,35,BRPP,3789,8,Unknown,0
37,Amethi,GEN,RAM SHANKER,M,GEN,43,IND,3498,9,Hindu,6
37,Amethi,GEN,DILIP,M,GEN,36,IND,2366,10,Hindu,66
37,Amethi,GEN,MIHILAL,M,GEN,52,IND,2283,11,Unknown,0
37,Amethi,GEN,SUNITA,F,SC,26,MAP,1816,12,Hindu,66
37,Amethi,GEN,OMKAR,M,GEN,46,IND,1705,13,Hindu,23
37,Amethi,GEN,AAVID HUSSAIN,M,GEN,31,IND,1501,14,Muslim,16
37,Amethi,GEN,KAPIL DEO,M,GEN,30,IND,1419,15,Hindu,11
37,Amethi,GEN,SURYABHAN MAURYA,M,GEN,45,RASD,1390,16,Hindu,46
38,Sultanpur,GEN,DR.SANJAY SINGH,M,GEN,55,INC,300411,1,Hindu,16
38,Sultanpur,GEN,MOHD.TAHIR,M,GEN,33,BSP,201632,2,Unknown,0
38,Sultanpur,GEN,ASHOK PANDEY,M,GEN,58,SP,107895,3,Hindu,46
38,Sultanpur,GEN,SURYA BHAN SINGH,M,GEN,54,BJP,44425,4,Hindu,16
38,Sultanpur,GEN,JHINKURAM VISHWAKARMA,M,GEN,33,IND,8903,5,Hindu,16
38,Sultanpur,GEN,HARI NARAYAN,M,GEN,70,IND,7905,6,Hindu,27
38,Sultanpur,GEN,PRAKASH CHANDRA,M,GEN,35,IND,6687,7,Hindu,5
38,Sultanpur,GEN,CHOTELAL MAURYA,M,GEN,40,AD,5602,8,Hindu,16
38,Sultanpur,GEN,KRISHNA NARAYAN,M,GEN,33,IND,5565,9,Hindu,62
38,Sultanpur,GEN,ANIL,M,GEN,35,RPI(A),5287,10,Hindu,23
38,Sultanpur,GEN,AWADHESH KUMAR,M,SC,30,IND,2994,11,Hindu,16
38,Sultanpur,GEN,MOHD.UMAR,M,GEN,42,PECP,2328,12,Unknown,0
38,Sultanpur,GEN,RAKESH,M,GEN,25,NYP,2275,13,Hindu,66
38,Sultanpur,GEN,TRIVENI PRASAD BHEEM,M,SC,52,BRPP,2250,14,Hindu,66
38,Sultanpur,GEN,RAJKUMAR PANDEY,M,GEN,36,RDMP,1850,15,Hindu,9
38,Sultanpur,GEN,ARVIND KUMAR,M,GEN,46,IND,1846,16,Hindu,46
39,Pratapgarh,GEN,RAJKUMARI RATNA SINGH,F,GEN,49,INC,169137,1,Hindu,33
39,Pratapgarh,GEN,PROF. SHIVAKANT OJHA,M,GEN,57,BSP,139358,2,Muslim,2
39,Pratapgarh,GEN,KUNWAR AKSHAYA PRATAP SINGH 'GOPAL JI',M,GEN,41,SP,121252,3,Hindu,38
39,Pratapgarh,GEN,ATIQ AHAMAD,M,GEN,46,AD,108211,4,Unknown,0
39,Pratapgarh,GEN,LAKSHMI NARAIN PANDEY 'GURU JI',M,GEN,57,BJP,45575,5,Unknown,0
39,Pratapgarh,GEN,RAMESH KUMAR,M,GEN,31,IND,6727,6,Hindu,5
39,Pratapgarh,GEN,VINOD,M,SC,29,IND,5713,7,Hindu,66
39,Pratapgarh,GEN,RAVINDRA SINGH,M,GEN,33,IND,4899,8,Hindu,5
39,Pratapgarh,GEN,UDHAV RAM,M,GEN,53,IND,4079,9,Hindu,5
39,Pratapgarh,GEN,SHIVRAM,M,GEN,51,IND,3592,10,Hindu,66
39,Pratapgarh,GEN,JITENDRA PRATAP SINGH,M,GEN,40,IND,3449,11,Hindu,29
39,Pratapgarh,GEN,MUNEESHWAR SINGH,M,GEN,65,IND,3196,12,Hindu,16
39,Pratapgarh,GEN,DINESH PANDEY ALIAS D.K. PANDEY,M,GEN,34,IND,3135,13,Hindu,35
39,Pratapgarh,GEN,SATRAM,M,SC,42,IND,3043,14,Unknown,0
39,Pratapgarh,GEN,ARUN KUMAR,M,GEN,48,SJP(R),3013,15,Hindu,46
39,Pratapgarh,GEN,RAMMURTI MISHRA,M,GEN,36,IND,2718,16,Hindu,16
39,Pratapgarh,GEN,RAM SAMUJH,M,SC,60,IND,2433,17,Hindu,6
39,Pratapgarh,GEN,BADRI PRASAD,M,SC,48,IND,2383,18,Hindu,5
39,Pratapgarh,GEN,RANI PAL,F,GEN,58,IND,2373,19,Hindu,46
39,Pratapgarh,GEN,A. RASHID ANSARI,M,GEN,54,MC,2281,20,Muslim,9
39,Pratapgarh,GEN,CHHANGALAL,M,SC,56,IND,1899,21,Unknown,0
39,Pratapgarh,GEN,ATUL DWIVEDI,M,GEN,29,IND,1366,22,Hindu,46
39,Pratapgarh,GEN,RAJESH,M,GEN,36,KKJHS,1171,23,Hindu,66
40,Farrukhabad,GEN,SALMAN KHURSHEED,M,GEN,56,INC,169351,1,Muslim,27
40,Farrukhabad,GEN,NARESH CHANDRA AGRAWAL,M,GEN,56,BSP,142152,2,Hindu,50
40,Farrukhabad,GEN,CHANDRA BHUSHAN SINGH URF MUNNU BABU,M,GEN,65,SP,127347,3,Hindu,53
40,Farrukhabad,GEN,MITHLESH KUMARI,F,GEN,54,BJP,117951,4,Unknown,0
40,Farrukhabad,GEN,SWAMI SACHIDANAND HARI SAKSHI,M,GEN,53,RTKP,30855,5,Hindu,13
40,Farrukhabad,GEN,SURESH CHANDRA SARASWAT URF ELAICHI WALA,M,GEN,50,IND,4201,6,Hindu,66
40,Farrukhabad,GEN,RISHIDUTT,M,GEN,36,ABHM,3925,7,Unknown,0
40,Farrukhabad,GEN,VEENA KUREEL,F,SC,54,IND,2752,8,Hindu,83
40,Farrukhabad,GEN,OM BABU,M,GEN,57,JPS,2630,9,Hindu,16
40,Farrukhabad,GEN,SUBODH GANGWAR,M,GEN,40,AD,1846,10,Hindu,83
40,Farrukhabad,GEN,VINOD KUMAR,M,GEN,55,IND,1830,11,Hindu,46
40,Farrukhabad,GEN,RAMSHARAN,M,GEN,62,BNRP,1464,12,Unknown,0
40,Farrukhabad,GEN,RIYAZ AHMAD,M,GEN,61,IND,1408,13,Muslim,8
40,Farrukhabad,GEN,WAZID ALI,M,GEN,40,IJP,1223,14,Muslim,16
40,Farrukhabad,GEN,JAIVEER SINGH SHAKYA,M,GEN,31,BRPP,1213,15,Hindu,52
40,Farrukhabad,GEN,DALGANJAN SINGH YADAV,M,GEN,73,BRM,867,16,Hindu,49
41,Etawah,SC,PREMDAS,M,SC,49,SP,278776,1,Unknown,0
41,Etawah,SC,GAURISHANKER,M,SC,63,BSP,232030,2,Unknown,0
41,Etawah,SC,KAMLESH VERMA,F,SC,40,BJP,105652,3,Hindu,46
41,Etawah,SC,SHIV RAM DOHRE,M,SC,68,MD,5829,4,Hindu,17
41,Etawah,SC,SATYA PRIYA MANAV,M,SC,64,IND,4246,5,Hindu,13
41,Etawah,SC,ANVER SINGH,M,SC,44,IND,3547,6,Hindu,16
41,Etawah,SC,SHARMILA,F,SC,43,IND,2009,7,Hindu,66
41,Etawah,SC,RAMNARESH,M,SC,35,IND,1597,8,Unknown,0
41,Etawah,SC,SIYARAM,M,SC,55,RBCP,954,9,Unknown,0
41,Etawah,SC,SANT KUMAR DOHRE,M,SC,28,LD,939,10,Hindu,9
41,Etawah,SC,GIREESH BHARTIYA,M,SC,38,IND,811,11,Unknown,0
41,Etawah,SC,K.P.D. SHYAMDAS,M,SC,42,IND,791,12,Unknown,0
41,Etawah,SC,JAISHANKAR,M,SC,56,IND,739,13,Hindu,66
42,Kannauj,GEN,AKHILESH YADAV,M,GEN,35,SP,337751,1,Hindu,46
42,Kannauj,GEN,DR. MAHESH CHANDRA VERMA,M,GEN,53,BSP,221887,2,Hindu,50
42,Kannauj,GEN,SUBRAT PATHAK,M,GEN,29,BJP,150872,3,Hindu,16
42,Kannauj,GEN,BALRAM,M,GEN,29,BSP(K),6650,4,Hindu,66
42,Kannauj,GEN,SHRIKRISHNA SHAKYA,M,GEN,56,IND,5310,5,Hindu,46
42,Kannauj,GEN,SANJEEV,M,GEN,25,IND,3323,6,Hindu,66
42,Kannauj,GEN,SHAHANSHAH KHAN,M,GEN,37,IND,2911,7,Muslim,16
42,Kannauj,GEN,RAM KARAN KASHYAP,M,GEN,37,VAJP,2706,8,Hindu,5
42,Kannauj,GEN,AJAB SINGH YADAV,M,GEN,30,ABAS,2207,9,Hindu,49
42,Kannauj,GEN,VIJAY SINGH CHAUHAN,M,GEN,53,MD,2149,10,Hindu,52
42,Kannauj,GEN,RAM SWAROOP,M,GEN,70,JPS,1408,11,Hindu,29
42,Kannauj,GEN,LAL SINGH,M,GEN,40,IND,1357,12,Hindu,9
42,Kannauj,GEN,NARAYAN KUMAR,M,GEN,39,RDMP,1189,13,Hindu,46
42,Kannauj,GEN,RAM BABU,M,GEN,37,IND,806,14,Hindu,8
42,Kannauj,GEN,RAM BABU TRIVEDI,M,GEN,62,BPD,790,15,Hindu,8
42,Kannauj,GEN,PRADEEP,M,GEN,35,IND,634,16,Hindu,23
43,Kanpur,GEN,SRI PRAKASH JAISWAL,M,GEN,64,INC,214988,1,Hindu,17
43,Kanpur,GEN,SATISH MAHANA,M,GEN,48,BJP,196082,2,Hindu,83
43,Kanpur,GEN,SUKHDA MISHRA,F,GEN,67,BSP,48374,3,Hindu,16
43,Kanpur,GEN,SURENDRA MOHAN AGRAWAL,M,GEN,65,SP,34919,4,Hindu,14
43,Kanpur,GEN,AHAMED HUSSAIN,M,GEN,68,IND,3728,5,Muslim,16
43,Kanpur,GEN,OMENDRA BHARAT,M,GEN,29,BPD,3237,6,Unknown,0
43,Kanpur,GEN,MAYA KAUSHAL,F,GEN,55,IND,2503,7,Hindu,13
43,Kanpur,GEN,MOHAMMD ISHA,M,GEN,34,IND,2394,8,Muslim,2
43,Kanpur,GEN,NISHA,F,GEN,38,IND,1463,9,Hindu,12
43,Kanpur,GEN,V.N.AWASTHI,M,GEN,75,IND,1274,10,Unknown,0
43,Kanpur,GEN,MAHESH CHANDRA SHARMA,M,GEN,65,IND,767,11,Hindu,50
43,Kanpur,GEN,ANIL KUMAR JAIN,M,GEN,49,IND,563,12,Hindu,30
43,Kanpur,GEN,BADRI VISHAL PRAJAPATI,M,GEN,35,IND,522,13,Hindu,9
43,Kanpur,GEN,JAGDISH PRASAD,M,GEN,48,ABHM,503,14,Hindu,46
43,Kanpur,GEN,GUFRAN  AHMED,M,GEN,49,RWSP,450,15,Hindu,2
43,Kanpur,GEN,JAGESWAR DAYAL 1 VIKAL ORAI,M,GEN,49,IND,389,16,Hindu,26
43,Kanpur,GEN,GAYA PRASAD,M,GEN,55,IND,365,17,Hindu,16
43,Kanpur,GEN,MOTI LAL SHARMA,M,GEN,59,IJP,357,18,Hindu,13
44,Akbarpur,GEN,RAJARAM PAL,M,GEN,48,INC,192549,1,Hindu,16
44,Akbarpur,GEN,ANIL SHUKLA WARSI,M,GEN,52,BSP,160506,2,Hindu,26
44,Akbarpur,GEN,ARUN KUMAR TIWARI BABA,M,GEN,47,BJP,136907,3,Hindu,66
44,Akbarpur,GEN,KAMLESH KUMAR PATHAK,M,GEN,53,SP,114820,4,Hindu,50
44,Akbarpur,GEN,RAM NATH VERMA,M,SC,62,IND,7243,5,Hindu,8
44,Akbarpur,GEN,VIRENDRA VISHWAKARMA,M,GEN,40,IND,6613,6,Hindu,46
44,Akbarpur,GEN,AMAR SINGH CHAUHAN,M,GEN,51,JPS,5468,7,Hindu,15
44,Akbarpur,GEN,DR.A.K. GUPTA,M,GEN,58,RSMD,2627,8,Hindu,16
44,Akbarpur,GEN,MANJESH KUMAR,M,GEN,37,IND,1642,9,Hindu,16
44,Akbarpur,GEN,SATENDRA KUSHWAHA,M,GEN,53,RKSP,1580,10,Hindu,16
44,Akbarpur,GEN,VIMAL SINGH BHADAURIA,M,GEN,27,ABAS,1494,11,Hindu,24
44,Akbarpur,GEN,DHARMENDRA PRATAP SINGH,M,SC,34,BPD,1461,12,Hindu,17
44,Akbarpur,GEN,OMKAR,M,GEN,46,IND,1355,13,Hindu,23
44,Akbarpur,GEN,RAM GOPAL,M,SC,51,RAJUP,1051,14,Hindu,29
44,Akbarpur,GEN,DAYA SHANKER,M,GEN,70,RSP,720,15,Unknown,0
44,Akbarpur,GEN,CHAUDHARY DHARMENDRA SINGH YADAV,M,GEN,35,RPI,623,16,Hindu,22
44,Akbarpur,GEN,BAIKUNTH NATH,M,GEN,63,JD(S),595,17,Unknown,0
45,Jalaun,SC,GHANSYAM ANURAGI,M,SC,35,SP,283023,1,Unknown,0
45,Jalaun,SC,TILAK CHANDRA AHIRWAR,M,SC,40,BSP,271614,2,Hindu,66
45,Jalaun,SC,BHANU PRATAP SINGH VERMA,M,SC,50,BJP,131259,3,Hindu,36
45,Jalaun,SC,DR. BABU RAMADHIN AHIRWAR,M,SC,58,INC,77459,4,Unknown,0
45,Jalaun,SC,VASHUDEV,M,SC,31,IND,7137,5,Unknown,0
45,Jalaun,SC,NATHURAM VERMA LOHIA,M,SC,63,NCP,4751,6,Unknown,0
45,Jalaun,SC,RAM JI,M,SC,49,IND,4230,7,Hindu,6
45,Jalaun,SC,PRATAP SINGH KATHARIYA,M,SC,39,NELU,2803,8,Hindu,34
45,Jalaun,SC,KASHIRAM,M,SC,35,CPI(ML)(L),2753,9,Unknown,0
45,Jalaun,SC,PRABHA VERMA,F,SC,25,AD,2533,10,Hindu,5
45,Jalaun,SC,BHAGGOOLAL VALMIKI,M,SC,50,RSMD,2377,11,Hindu,16
45,Jalaun,SC,HUKUM,M,SC,52,JPS,2086,12,Unknown,0
45,Jalaun,SC,BHURI DEVI,F,SC,54,IND,1864,13,Hindu,3
45,Jalaun,SC,MEVALAL,M,SC,61,IND,1823,14,Unknown,0
45,Jalaun,SC,SANJAY KUMAR,M,SC,28,RAJUP,954,15,Hindu,46
45,Jalaun,SC,DASHRATH SINGH AHIRWAR,M,SC,27,RDMP,918,16,Hindu,90
46,Jhansi,GEN,PRADEEP KUMAR JAIN (ADITYA),M,GEN,47,INC,252712,1,Hindu,18
46,Jhansi,GEN,RAMESH KUMAR SHARMA,M,GEN,56,BSP,205042,2,Hindu,21
46,Jhansi,GEN,CHANDRPAL SINGH YADAV,M,GEN,50,SP,132076,3,Hindu,49
46,Jhansi,GEN,SUJAN SINGH BUNDELA,M,GEN,63,RSMD,105298,4,Hindu,24
46,Jhansi,GEN,RAVINDRA SHUKLA,M,GEN,50,BJP,79724,5,Hindu,5
46,Jhansi,GEN,DEEPMALA KUSHWAHA,F,GEN,28,RTKP,17399,6,Hindu,16
46,Jhansi,GEN,BAL KISHAN,M,GEN,37,IND,13498,7,Hindu,66
46,Jhansi,GEN,MAHENDRA,M,GEN,39,IND,7349,8,Hindu,66
46,Jhansi,GEN,PANKAJ RAWAT,M,GEN,37,IND,7004,9,Hindu,46
46,Jhansi,GEN,RAMDAS,M,GEN,50,BJTP,6872,10,Unknown,0
46,Jhansi,GEN,KAMTA PRASAD RAJPUT,M,GEN,56,IND,6286,11,Hindu,46
46,Jhansi,GEN,MATHURA PRASAD,M,GEN,59,IND,5320,12,Hindu,16
46,Jhansi,GEN,PARWAT SINGH,M,GEN,42,IND,5106,13,Hindu,16
46,Jhansi,GEN,JAGAT VIKRAM SINGH,M,GEN,39,IND,4262,14,Hindu,50
46,Jhansi,GEN,ABDESH BHOOSHAN SRIVASTAVA,M,GEN,48,IND,4210,15,Hindu,46
46,Jhansi,GEN,BALAK DAS,M,GEN,40,AD,4173,16,Hindu,40
46,Jhansi,GEN,MANMOHAN GUPTA,M,GEN,62,IJP,3021,17,Hindu,5
46,Jhansi,GEN,BABU LAL NANGAL,M,GEN,65,LSVP,2507,18,Hindu,7
47,Hamirpur,GEN,VIJAY BAHADUR SINGH,M,GEN,65,BSP,199143,1,Hindu,9
47,Hamirpur,GEN,SIDDHA GOPAL SAHU,M,GEN,43,INC,173641,2,Hindu,23
47,Hamirpur,GEN,ASHOK KUMAR SINGH CHANDEL,M,GEN,49,SP,165938,3,Hindu,63
,Unknown,0
47,Hamirpur,GEN,LALLU PRASAD,M,SC,38,IND,9268,5,Hindu,16
47,Hamirpur,GEN,HAKEEM KHAN,M,GEN,56,BAP,7593,6,Muslim,46
47,Hamirpur,GEN,ANIL KUMAR,M,SC,30,ASP,6169,7,Hindu,22
47,Hamirpur,GEN,PARMESHWAR DAYAL,M,SC,60,IND,4445,8,Hindu,23
47,Hamirpur,GEN,LALLA,M,GEN,46,IND,4013,9,Christian,66
47,Hamirpur,GEN,NEERAJ KUMAR NIRALA,M,SC,28,IND,3534,10,Hindu,66
47,Hamirpur,GEN,AMIT KUMAR,M,GEN,28,AD,2964,11,Hindu,46
47,Hamirpur,GEN,DESH RAJ,M,SC,45,IND,2404,12,Hindu,16
47,Hamirpur,GEN,SHIVPRASAD PRAJAPATI,M,GEN,33,IJP,2345,13,Hindu,16
47,Hamirpur,GEN,KANTI,F,GEN,43,LD,1854,14,Hindu,10
47,Hamirpur,GEN,GIRDHARILAL,M,SC,70,NELU,1804,15,Unknown,0
47,Hamirpur,GEN,KAPIL KUMAR,M,GEN,30,NLHP,1670,16,Hindu,16
48,Banda,GEN,R. K. SINGH PATEL,M,GEN,49,SP,240948,1,Hindu,49
48,Banda,GEN,BHAIRON PRASAD MISHRA,M,GEN,55,BSP,206355,2,Hindu,46
48,Banda,GEN,AMITA BAJPAI,F,GEN,39,BJP,85587,3,Hindu,46
48,Banda,GEN,BHAGAWAN DEEN GARG,M,GEN,47,INC,38571,4,Muslim,33
48,Banda,GEN,SHIV KUMAR,M,SC,43,IND,9005,5,Hindu,16
48,Banda,GEN,SANTOSH KUMAR,M,GEN,54,CPI,7942,6,Hindu,46
48,Banda,GEN,PARASHU RAM NISHAD,M,GEN,45,AD,6861,7,Hindu,29
48,Banda,GEN,BALENDRA NATH,M,GEN,38,IND,4722,8,Sikh,83
48,Banda,GEN,ASHOK KUMAR,M,GEN,40,IJP,4229,9,Hindu,46
48,Banda,GEN,LALIT KUMAR,M,GEN,37,ASP,3858,10,Hindu,9
48,Banda,GEN,MANOJ KUMAR,M,GEN,30,IND,3121,11,Hindu,46
48,Banda,GEN,JAGAN NATH SINGH,M,GEN,62,IND,2374,12,Hindu,46
48,Banda,GEN,PRAKASH NARAYAN,M,SC,32,IND,2265,13,Hindu,32
48,Banda,GEN,ANAND,M,GEN,45,UCPI,1713,14,Hindu,16
48,Banda,GEN,ANSH DHARI,M,GEN,29,IND,1667,15,Hindu,83
49,Fatehpur,GEN,RAKESH SACHAN,M,GEN,53,SP,218953,1,Hindu,83
49,Fatehpur,GEN,MAHENDRA PRASAD NISHAD,M,GEN,37,BSP,166725,2,Hindu,60
49,Fatehpur,GEN,RADHEY SHYAM GUPTA,M,GEN,69,BJP,115712,3,Hindu,50
49,Fatehpur,GEN,VIBHAKAR SHASTRI,M,GEN,44,INC,101853,4,Hindu,83
49,Fatehpur,GEN,NARSINGH PATEL,M,GEN,54,IND,23488,5,Hindu,16
49,Fatehpur,GEN,JAGESHWAR PAL,M,GEN,58,NCP,10693,6,Hindu,16
49,Fatehpur,GEN,DR. SONEY LAL PATEL,M,GEN,59,AD,10628,7,Hindu,9
49,Fatehpur,GEN,AJEYA SINGH,M,GEN,52,JM,7422,8,Hindu,16
49,Fatehpur,GEN,HARISH CHANDRA SWARNKAR,M,GEN,40,IND,6444,9,Hindu,29
49,Fatehpur,GEN,ANSHU MAN SINGH (ADVOCATE),M,GEN,43,IND,6031,10,Hindu,27
49,Fatehpur,GEN,DILEEP VERMA,M,GEN,43,IND,5829,11,Hindu,46
49,Fatehpur,GEN,JAGDEESH NARAIN SHARMA,M,GEN,39,IND,5790,12,Sikh,33
49,Fatehpur,GEN,UDIT RAJ,M,SC,51,IJP,5573,13,Hindu,5
49,Fatehpur,GEN,MAHFAZUL HAK ALIAS RAJU KHAN,M,GEN,38,IND,2852,14,Muslim,5
49,Fatehpur,GEN,VISHWASWAROOP MAURYA,M,GEN,57,ABAS,1708,15,Hindu,16
49,Fatehpur,GEN,MUNNA SINGH,M,GEN,34,KKJHS,1657,16,Hindu,5
49,Fatehpur,GEN,RAEES,M,GEN,33,PECP,1586,17,Muslim,23
49,Fatehpur,GEN,MATIN,M,GEN,42,ANC,1439,18,Muslim,16
50,Kaushambi,SC,SHAILENDRA KUMAR,M,SC,51,SP,246501,1,Hindu,46
50,Kaushambi,SC,GIRISH CHANDRA PASI,M,SC,39,BSP,190712,2,Hindu,66
50,Kaushambi,SC,RAM NIHOR RAKESH,M,SC,64,INC,40765,3,Hindu,29
50,Kaushambi,SC,GAUTAM CHAUDHARY,M,SC,44,BJP,30475,4,Hindu,24
50,Kaushambi,SC,UMESH CHANDRA PASI,M,SC,40,AD,18799,5,Hindu,22
50,Kaushambi,SC,RAM SARAN,M,SC,56,IND,11570,6,Hindu,8
50,Kaushambi,SC,MAN SINGH,M,SC,28,IND,3973,7,Hindu,6
50,Kaushambi,SC,JAGDEO,M,SC,53,IND,3041,8,Hindu,66
50,Kaushambi,SC,GULAB SONKAR,M,SC,45,IJP,2975,9,Unknown,0
50,Kaushambi,SC,GULAB CHANDRA,M,SC,39,IND,2500,10,Hindu,5
